"id","Protein","Pathway","Metabolism"
"K13330","DTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13371","Aralkylamine dehydrogenase light chain","Tyrosine metabolism","Amino acid metabolism"
"K13372","Aralkylamine dehydrogenase heavy chain","Tyrosine metabolism","Amino acid metabolism"
"K13378","NADH-quinone oxidoreductase subunit C/D","Oxidative phosphorylation","Energy metabolism"
"K13379","Reversibly glycosylated polypeptide / UDP-arabinopyranose mutase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13380","NADH-quinone oxidoreductase subunit B/C/D","Oxidative phosphorylation","Energy metabolism"
"K13381","Bifunctional chitinase/lysozyme","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13479","Xanthine dehydrogenase FAD-binding subunit","Purine metabolism","Nucleotide metabolism"
"K13480","Xanthine dehydrogenase iron-sulfur-binding subunit","Purine metabolism","Nucleotide metabolism"
"K13481","Xanthine dehydrogenase small subunit","Purine metabolism","Nucleotide metabolism"
"K13482","Xanthine dehydrogenase large subunit","Purine metabolism","Nucleotide metabolism"
"K13483","Xanthine dehydrogenase YagT iron-sulfur-binding subunit","Purine metabolism","Nucleotide metabolism"
"K13485","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase","Purine metabolism","Nucleotide metabolism"
"K13497","Anthranilate synthase/phosphoribosyltransferase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13498","Indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13500","Chondroitin synthase","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Glycan biosynthesis and metabolism"
"K13501","Anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13503","Anthranilate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13509","Lysophosphatidate acyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K13522","Bifunctional NMN adenylyltransferase/nudix hydrolase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K13524","4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase","Propanoate metabolism","Carbohydrate metabolism"
"K13540","Precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K13541","Cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K13542","Uroporphyrinogen III methyltransferase / synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K13543","Uroporphyrinogen III methyltransferase / synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K13566","Omega-amidase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K13609","Delta1-piperideine-2-carboxylate reductase","Lysine degradation","Amino acid metabolism"
"K13668","Phosphatidyl-myo-inositol dimannoside synthase","Lipoarabinomannan (LAM) biosynthesis","Glycan biosynthesis and metabolism"
"K13669","Alpha-1,2-mannosyltransferase","Lipoarabinomannan (LAM) biosynthesis","Glycan biosynthesis and metabolism"
"K13677","1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K13679","Granule-bound starch synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K13686","Galactan 5-O-arabinofuranosyltransferase","Arabinogalactan biosynthesis - Mycobacterium","Glycan biosynthesis and metabolism"
"K13713","Fusion protein PurCD","Purine metabolism","Nucleotide metabolism"
"K13745","L-2,4-diaminobutyrate decarboxylase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K13746","Carboxynorspermidine synthase","Arginine and proline metabolism","Amino acid metabolism"
"K13747","Carboxynorspermidine decarboxylase","Arginine and proline metabolism","Amino acid metabolism"
"K13766","Methylglutaconyl-CoA hydratase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K13767","Enoyl-CoA hydratase","Fatty acid degradation","Lipid metabolism"
"K13786","Cob(II)yrinic acid a,c-diamide reductase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K13787","Geranylgeranyl diphosphate synthase, type I","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K13788","Phosphate acetyltransferase","Pyruvate metabolism","Carbohydrate metabolism"
"K13789","Geranylgeranyl diphosphate synthase, type II","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K13799","Pantoate ligase / CMP/dCMP kinase","Pyrimidine metabolism","Nucleotide metabolism"
"K13810","Transaldolase / glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K13811","3'-phosphoadenosine 5'-phosphosulfate synthase","Sulfur metabolism","Energy metabolism"
"K13812","Bifunctional enzyme Fae/Hps","Pentose phosphate pathway","Carbohydrate metabolism"
"K13818","Molybdopterin-guanine dinucleotide biosynthesis protein","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K13821","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K13829","Shikimate kinase / 3-dehydroquinate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13830","Pentafunctional AROM polypeptide","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13831","3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase","Pentose phosphate pathway","Carbohydrate metabolism"
"K13832","3-dehydroquinate dehydratase / shikimate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13853","3-deoxy-7-phosphoheptulonate synthase / chorismate mutase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K13873","L-arabinose 1-dehydrogenase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K13874","L-arabinonolactonase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K13875","L-arabonate dehydrase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K13876","2-keto-3-deoxy-L-arabinonate dehydratase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K13877","2,5-dioxopentanoate dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K13919","Propanediol dehydratase medium subunit","Propanoate metabolism","Carbohydrate metabolism"
"K13920","Propanediol dehydratase small subunit","Propanoate metabolism","Carbohydrate metabolism"
"K13921","1-propanol dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K13938","Dihydromonapterin reductase / dihydrofolate reductase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K13940","Dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K13941","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K13942","5,10-methenyltetrahydromethanopterin hydrogenase","Methane metabolism","Energy metabolism"
"K13953","Alcohol dehydrogenase, propanol-preferring","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K13954","Alcohol dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K13967","N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13990","Glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase","Histidine metabolism","Amino acid metabolism"
"K13995","Maleamate amidohydrolase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K14028","Methanol dehydrogenase (cytochrome c) subunit 1","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
