"id","Protein","Pathway","Metabolism"
"K01611","S-adenosylmethionine decarboxylase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01613","Phosphatidylserine decarboxylase","Glycerophospholipid metabolism","Lipid metabolism"
"K01615","Glutaconyl-CoA decarboxylase subunit alpha","Butanoate metabolism","Carbohydrate metabolism"
"K01617","2-oxo-3-hexenedioate decarboxylase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K01619","Deoxyribose-phosphate aldolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K01620","Threonine aldolase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01621","Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K01622","Fructose 1,6-bisphosphate aldolase/phosphatase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01623","Fructose-bisphosphate aldolase, class I","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01624","Fructose-bisphosphate aldolase, class II","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01625","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K01626","3-deoxy-7-phosphoheptulonate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01627","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K01628","L-fuculose-phosphate aldolase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01629","Rhamnulose-1-phosphate aldolase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01630","2-dehydro-3-deoxyglucarate aldolase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K01631","2-dehydro-3-deoxyphosphogalactonate aldolase","Galactose metabolism","Carbohydrate metabolism"
"K01633","7,8-dihydroneopterin aldolase/epimerase/oxygenase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K01634","Sphinganine-1-phosphate aldolase","Sphingolipid metabolism","Lipid metabolism"
"K01635","Tagatose 1,6-diphosphate aldolase","Galactose metabolism","Carbohydrate metabolism"
"K01637","Isocitrate lyase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01638","Malate synthase","Pyruvate metabolism","Carbohydrate metabolism"
"K01639","N-acetylneuraminate lyase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K01640","Hydroxymethylglutaryl-CoA lyase","Butanoate metabolism","Carbohydrate metabolism"
"K01641","Hydroxymethylglutaryl-CoA synthase","Butanoate metabolism","Carbohydrate metabolism"
"K01647","Citrate synthase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01649","2-isopropylmalate synthase","Pyruvate metabolism","Carbohydrate metabolism"
"K01652","Acetolactate synthase I/II/III large subunit","Butanoate metabolism","Carbohydrate metabolism"
"K01653","Acetolactate synthase I/III small subunit","Butanoate metabolism","Carbohydrate metabolism"
"K01654","N-acetylneuraminate synthase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K01655","Homocitrate synthase","Pyruvate metabolism","Carbohydrate metabolism"
"K01657","Anthranilate synthase component I","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01658","Anthranilate synthase component II","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01659","2-methylcitrate synthase","Propanoate metabolism","Carbohydrate metabolism"
"K01661","Naphthoate synthase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K01662","1-deoxy-D-xylulose-5-phosphate synthase","Thiamine metabolism","Metabolism of cofactors and vitamins"
"K01663","Imidazole glycerol-phosphate synthase","Histidine metabolism","Amino acid metabolism"
"K01666","4-hydroxy 2-oxovalerate aldolase","Phenylalanine metabolism","Amino acid metabolism"
"K01667","Tryptophanase","Tryptophan metabolism","Amino acid metabolism"
"K01673","Carbonic anhydrase","Nitrogen metabolism","Energy metabolism"
"K01674","Carbonic anhydrase","Nitrogen metabolism","Energy metabolism"
"K01676","Fumarate hydratase, class I","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01677","Fumarate hydratase subunit alpha","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01678","Fumarate hydratase subunit beta","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01679","Fumarate hydratase, class II","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01681","Aconitate hydratase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01682","Aconitate hydratase 2 / 2-methylisocitrate dehydratase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01684","Galactonate dehydratase","Galactose metabolism","Carbohydrate metabolism"
"K01685","Altronate hydrolase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01686","Mannonate dehydratase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01687","Dihydroxy-acid dehydratase","Valine, leucine and isoleucine biosynthesis","Amino acid metabolism"
"K01689","Enolase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01690","Phosphogluconate dehydratase","Pentose phosphate pathway","Carbohydrate metabolism"
"K01692","Enoyl-CoA hydratase","Propanoate metabolism","Carbohydrate metabolism"
"K01693","Imidazoleglycerol-phosphate dehydratase","Histidine metabolism","Amino acid metabolism"
"K01695","Tryptophan synthase alpha chain","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01696","Tryptophan synthase beta chain","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01697","Cystathionine beta-synthase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01698","Porphobilinogen synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K01699","Propanediol dehydratase large subunit","Propanoate metabolism","Carbohydrate metabolism"
"K01703","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K01704","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K01705","Homoaconitate hydratase","Lysine biosynthesis","Amino acid metabolism"
"K01706","Glucarate dehydratase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K01707","5-dehydro-4-deoxyglucarate dehydratase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K01708","Galactarate dehydratase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K01709","CDP-glucose 4,6-dehydratase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K01710","DTDP-glucose 4,6-dehydratase","O-Antigen nucleotide sugar biosynthesis","Glycan biosynthesis and metabolism"
"K01711","GDPmannose 4,6-dehydratase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K01712","Urocanate hydratase","Histidine metabolism","Amino acid metabolism"
"K01713","Cyclohexadienyl dehydratase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01714","4-hydroxy-tetrahydrodipicolinate synthase","Lysine biosynthesis","Amino acid metabolism"
"K01716","3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase","Fatty acid biosynthesis","Lipid metabolism"
"K01719","Uroporphyrinogen-III synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K01720","2-methylcitrate dehydratase","Propanoate metabolism","Carbohydrate metabolism"
"K01721","Nitrile hydratase subunit alpha","Tryptophan metabolism","Amino acid metabolism"
"K01724","4a-hydroxytetrahydrobiopterin dehydratase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K01725","Cyanate lyase","Nitrogen metabolism","Energy metabolism"
"K01728","Pectate lyase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01729","Poly(beta-D-mannuronate) lyase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K01730","Oligogalacturonide lyase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01731","Pectate disaccharide-lyase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01733","Threonine synthase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01734","Methylglyoxal synthase","Propanoate metabolism","Carbohydrate metabolism"
"K01735","3-dehydroquinate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01736","Chorismate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K01738","Cysteine synthase","Sulfur metabolism","Energy metabolism"
"K01739","Cystathionine gamma-synthase","Sulfur metabolism","Energy metabolism"
"K01740","O-acetylhomoserine (thiol)-lyase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01743","Carbonic anhydrase","Nitrogen metabolism","Energy metabolism"
"K01744","Aspartate ammonia-lyase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K01745","Histidine ammonia-lyase","Histidine metabolism","Amino acid metabolism"
"K01746","Formiminotetrahydrofolate cyclodeaminase","One carbon pool by folate","Metabolism of cofactors and vitamins"
"K01749","Hydroxymethylbilane synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K01750","Ornithine cyclodeaminase","Arginine and proline metabolism","Amino acid metabolism"
"K01752","L-serine dehydratase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01753","D-serine dehydratase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01754","Threonine dehydratase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01755","Argininosuccinate lyase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K01756","Adenylosuccinate lyase","Purine metabolism","Nucleotide metabolism"
"K01757","Strictosidine synthase","Indole alkaloid biosynthesis","Biosynthesis of other secondary metabolites"
"K01758","Cystathionine gamma-lyase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K01759","Lactoylglutathione lyase","Pyruvate metabolism","Carbohydrate metabolism"
"K01760","Cysteine-S-conjugate beta-lyase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01761","Methionine-gamma-lyase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01762","1-aminocyclopropane-1-carboxylate synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01770","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K01771","1-phosphatidylinositol phosphodiesterase","Inositol phosphate metabolism","Carbohydrate metabolism"
"K01772","Protoporphyrin/coproporphyrin ferrochelatase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K01775","Alanine racemase","D-Alanine metabolism","Metabolism of other amino acids"
"K01776","Glutamate racemase","D-Glutamine and D-glutamate metabolism","Metabolism of other amino acids"
"K01777","Proline racemase","Arginine and proline metabolism","Amino acid metabolism"
"K01778","Diaminopimelate epimerase","Lysine biosynthesis","Amino acid metabolism"
"K01779","Aspartate racemase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K01782","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase","Propanoate metabolism","Carbohydrate metabolism"
"K01783","Ribulose-phosphate 3-epimerase","Pentose phosphate pathway","Carbohydrate metabolism"
"K01784","UDP-glucose 4-epimerase","Galactose metabolism","Carbohydrate metabolism"
"K01785","Aldose 1-epimerase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01787","N-acylglucosamine 2-epimerase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K01788","N-acylglucosamine-6-phosphate 2-epimerase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K01790","DTDP-4-dehydrorhamnose 3,5-epimerase","O-Antigen nucleotide sugar biosynthesis","Glycan biosynthesis and metabolism"
"K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K01792","Glucose-6-phosphate 1-epimerase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01793","Heparosan-N-sulfate-glucuronate 5-epimerase","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","Glycan biosynthesis and metabolism"
"K01795","Mannuronan 5-epimerase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K01796","Alpha-methylacyl-CoA racemase","Primary bile acid biosynthesis","Lipid metabolism"
"K01799","Maleate isomerase","Butanoate metabolism","Carbohydrate metabolism"
"K01800","Maleylacetoacetate isomerase","Tyrosine metabolism","Amino acid metabolism"
"K01801","Maleylpyruvate isomerase","Tyrosine metabolism","Amino acid metabolism"
"K01803","Triosephosphate isomerase (TIM)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01804","L-arabinose isomerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01805","Xylose isomerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01807","Ribose 5-phosphate isomerase A","Pentose phosphate pathway","Carbohydrate metabolism"
"K01808","Ribose 5-phosphate isomerase B","Pentose phosphate pathway","Carbohydrate metabolism"
"K01809","Mannose-6-phosphate isomerase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K01810","Glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01812","Glucuronate isomerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01813","L-rhamnose isomerase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K01814","Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","Histidine metabolism","Amino acid metabolism"
"K01815","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01816","Hydroxypyruvate isomerase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01817","Phosphoribosylanthranilate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01818","L-fucose/D-arabinose isomerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01819","Galactose-6-phosphate isomerase","Galactose metabolism","Carbohydrate metabolism"
"K01820","L-rhamnose isomerase / sugar isomerase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K01821","4-oxalocrotonate tautomerase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K01822","Steroid Delta-isomerase","Steroid degradation","Xenobiotics biodegradation and metabolism"
"K01823","Isopentenyl-diphosphate Delta-isomerase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K01825","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase","Propanoate metabolism","Carbohydrate metabolism"
"K01826","5-carboxymethyl-2-hydroxymuconate isomerase","Tyrosine metabolism","Amino acid metabolism"
"K01834","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01835","Phosphoglucomutase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01840","Phosphomannomutase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K01841","Phosphoenolpyruvate phosphomutase","Phosphonate and phosphinate metabolism","Metabolism of other amino acids"
"K01843","Lysine 2,3-aminomutase","Lysine degradation","Amino acid metabolism"
"K01844","Beta-lysine 5,6-aminomutase alpha subunit","Lysine degradation","Amino acid metabolism"
"K01845","Glutamate-1-semialdehyde 2,1-aminomutase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K01846","Methylaspartate mutase sigma subunit","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01847","Methylmalonyl-CoA mutase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01848","Methylmalonyl-CoA mutase, N-terminal domain","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01849","Methylmalonyl-CoA mutase, C-terminal domain","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01850","Chorismate mutase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K01851","Salicylate biosynthesis isochorismate synthase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K01852","Lanosterol synthase","Steroid biosynthesis","Lipid metabolism"
"K01854","UDP-galactopyranose mutase","Galactose metabolism","Carbohydrate metabolism"
"K01856","Muconate cycloisomerase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K01857","3-carboxy-cis,cis-muconate cycloisomerase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K01858","Myo-inositol-1-phosphate synthase","Inositol phosphate metabolism","Carbohydrate metabolism"
"K01860","Chloromuconate cycloisomerase","Fluorobenzoate degradation","Xenobiotics biodegradation and metabolism"
"K01874","Methionyl-tRNA synthetase","Selenocompound metabolism","Metabolism of other amino acids"
"K01885","Glutamyl-tRNA synthetase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K01886","Glutaminyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis","Translation"
"K01895","Acetyl-CoA synthetase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01896","Medium-chain acyl-CoA synthetase","Butanoate metabolism","Carbohydrate metabolism"
"K01897","Long-chain acyl-CoA synthetase","Fatty acid biosynthesis","Lipid metabolism"
"K01902","Succinyl-CoA synthetase alpha subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01903","Succinyl-CoA synthetase beta subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01904","4-coumarate--CoA ligase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K01905","Acetate---CoA ligase (ADP-forming) subunit alpha","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K01906","6-carboxyhexanoate--CoA ligase","Biotin metabolism","Metabolism of cofactors and vitamins"
"K01907","Acetoacetyl-CoA synthetase","Butanoate metabolism","Carbohydrate metabolism"
"K01908","Propionyl-CoA synthetase","Propanoate metabolism","Carbohydrate metabolism"
"K01911","O-succinylbenzoate---CoA ligase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K01912","Phenylacetate-CoA ligase","Phenylalanine metabolism","Amino acid metabolism"
"K01914","Aspartate--ammonia ligase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K01915","Glutamine synthetase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01916","NAD+ synthase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K01918","Pantoate--beta-alanine ligase","beta-Alanine metabolism","Metabolism of other amino acids"
"K01919","Glutamate--cysteine ligase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01920","Glutathione synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K01921","D-alanine-D-alanine ligase","D-Alanine metabolism","Metabolism of other amino acids"
"K01923","Phosphoribosylaminoimidazole-succinocarboxamide synthase","Purine metabolism","Nucleotide metabolism"
"K01924","UDP-N-acetylmuramate--alanine ligase","D-Glutamine and D-glutamate metabolism","Metabolism of other amino acids"
"K01925","UDP-N-acetylmuramoylalanine--D-glutamate ligase","D-Glutamine and D-glutamate metabolism","Metabolism of other amino acids"
"K01928","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","Lysine biosynthesis","Amino acid metabolism"
"K01929","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","Lysine biosynthesis","Amino acid metabolism"
"K01933","Phosphoribosylformylglycinamidine cyclo-ligase","Purine metabolism","Nucleotide metabolism"
"K01934","5-formyltetrahydrofolate cyclo-ligase","One carbon pool by folate","Metabolism of cofactors and vitamins"
"K01935","Dethiobiotin synthetase","Biotin metabolism","Metabolism of cofactors and vitamins"
"K01938","Formate--tetrahydrofolate ligase","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K01939","Adenylosuccinate synthase","Purine metabolism","Nucleotide metabolism"
"K01940","Argininosuccinate synthase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K01941","Urea carboxylase","Arginine biosynthesis","Amino acid metabolism"
"K01945","Phosphoribosylamine---glycine ligase","Purine metabolism","Nucleotide metabolism"
"K01947","Biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase","Pantothenate and CoA biosynthesis","Metabolism of cofactors and vitamins"
"K01950","NAD+ synthase (glutamine-hydrolysing)","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K01951","GMP synthase (glutamine-hydrolysing)","Purine metabolism","Nucleotide metabolism"
"K01952","Phosphoribosylformylglycinamidine synthase","Purine metabolism","Nucleotide metabolism"
"K01953","Asparagine synthase (glutamine-hydrolysing)","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K01955","Carbamoyl-phosphate synthase large subunit","Pyrimidine metabolism","Nucleotide metabolism"
"K01956","Carbamoyl-phosphate synthase small subunit","Pyrimidine metabolism","Nucleotide metabolism"
"K01958","Pyruvate carboxylase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01959","Pyruvate carboxylase subunit A","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01960","Pyruvate carboxylase subunit B","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K01961","Acetyl-CoA carboxylase, biotin carboxylase subunit","Pyruvate metabolism","Carbohydrate metabolism"
"K01962","Acetyl-CoA carboxylase carboxyl transferase subunit alpha","Pyruvate metabolism","Carbohydrate metabolism"
"K01963","Acetyl-CoA carboxylase carboxyl transferase subunit beta","Pyruvate metabolism","Carbohydrate metabolism"
"K01964","Acetyl-CoA/propionyl-CoA carboxylase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01965","Propionyl-CoA carboxylase alpha chain","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01966","Propionyl-CoA carboxylase beta chain","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K01968","3-methylcrotonyl-CoA carboxylase alpha subunit","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K01969","3-methylcrotonyl-CoA carboxylase beta subunit","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K02078","Acyl carrier protein","Fatty acid biosynthesis","Lipid metabolism"
"K02079","N-acetylgalactosamine-6-phosphate deacetylase","Galactose metabolism","Carbohydrate metabolism"
"K02080","Galactosamine-6-phosphate isomerase","Galactose metabolism","Carbohydrate metabolism"
"K02083","Allantoate deiminase","Purine metabolism","Nucleotide metabolism"
"K02092","Allophycocyanin alpha subunit","Photosynthesis - antenna proteins","Energy metabolism"
"K02093","Allophycocyanin beta subunit","Photosynthesis - antenna proteins","Energy metabolism"
"K02094","Phycobilisome core linker protein","Photosynthesis - antenna proteins","Energy metabolism"
"K02095","Allophycocyanin-B","Photosynthesis - antenna proteins","Energy metabolism"
"K02096","Phycobilisome core-membrane linker protein","Photosynthesis - antenna proteins","Energy metabolism"
"K02097","Phycobilisome core component","Photosynthesis - antenna proteins","Energy metabolism"
"K02107","V/A-type H+/Na+-transporting ATPase subunit G/H","Oxidative phosphorylation","Energy metabolism"
"K02108","F-type H+-transporting ATPase subunit a","Oxidative phosphorylation","Energy metabolism"
"K02109","F-type H+-transporting ATPase subunit b","Oxidative phosphorylation","Energy metabolism"
"K02110","F-type H+-transporting ATPase subunit c","Oxidative phosphorylation","Energy metabolism"
"K02111","F-type H+/Na+-transporting ATPase subunit alpha","Oxidative phosphorylation","Energy metabolism"
"K02112","F-type H+/Na+-transporting ATPase subunit beta","Oxidative phosphorylation","Energy metabolism"
"K02113","F-type H+-transporting ATPase subunit delta","Oxidative phosphorylation","Energy metabolism"
"K02114","F-type H+-transporting ATPase subunit epsilon","Oxidative phosphorylation","Energy metabolism"
"K02115","F-type H+-transporting ATPase subunit gamma","Oxidative phosphorylation","Energy metabolism"
"K02117","V/A-type H+/Na+-transporting ATPase subunit A","Oxidative phosphorylation","Energy metabolism"
"K02118","V/A-type H+/Na+-transporting ATPase subunit B","Oxidative phosphorylation","Energy metabolism"
"K02119","V/A-type H+/Na+-transporting ATPase subunit C","Oxidative phosphorylation","Energy metabolism"
"K02120","V/A-type H+/Na+-transporting ATPase subunit D","Oxidative phosphorylation","Energy metabolism"
"K02121","V/A-type H+/Na+-transporting ATPase subunit E","Oxidative phosphorylation","Energy metabolism"
"K02122","V/A-type H+/Na+-transporting ATPase subunit F","Oxidative phosphorylation","Energy metabolism"
"K02123","V/A-type H+/Na+-transporting ATPase subunit I","Oxidative phosphorylation","Energy metabolism"
"K02124","V/A-type H+/Na+-transporting ATPase subunit K","Oxidative phosphorylation","Energy metabolism"
"K02133","F-type H+-transporting ATPase subunit beta","Oxidative phosphorylation","Energy metabolism"
"K02160","Acetyl-CoA carboxylase biotin carboxyl carrier protein","Pyruvate metabolism","Carbohydrate metabolism"
"K02169","Malonyl-CoA O-methyltransferase","Biotin metabolism","Metabolism of cofactors and vitamins"
"K02170","Pimeloyl-[acyl-carrier protein] methyl ester esterase","Biotin metabolism","Metabolism of cofactors and vitamins"
"K02188","Cobalt-precorrin-5B (C1)-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02189","Cobalt-precorrin 5A hydrolase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02190","Sirohydrochlorin cobaltochelatase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02191","Cobalt-precorrin-6B (C15)-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02201","Pantetheine-phosphate adenylyltransferase","Pantothenate and CoA biosynthesis","Metabolism of cofactors and vitamins"
"K02203","Phosphoserine / homoserine phosphotransferase","Methane metabolism","Energy metabolism"
"K02204","Homoserine kinase type II","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K02224","Cobyrinic acid a,c-diamide synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02225","Cobalamin biosynthesis protein CobC","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02226","Alpha-ribazole phosphatase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02227","Adenosylcobinamide-phosphate synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02228","Precorrin-6A synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02229","Precorrin-3B synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02230","Cobaltochelatase CobN","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02231","Adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02232","Adenosylcobyric acid synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02233","Adenosylcobinamide-GDP ribazoletransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K02257","Heme o synthase","Oxidative phosphorylation","Energy metabolism"
"K02258","Cytochrome c oxidase assembly protein subunit 11","Oxidative phosphorylation","Energy metabolism"
"K02259","Heme a synthase","Oxidative phosphorylation","Energy metabolism"
"K02274","Cytochrome c oxidase subunit I","Oxidative phosphorylation","Energy metabolism"
"K02275","Cytochrome c oxidase subunit II","Oxidative phosphorylation","Energy metabolism"
"K02276","Cytochrome c oxidase subunit III","Oxidative phosphorylation","Energy metabolism"
"K02277","Cytochrome c oxidase subunit IV","Oxidative phosphorylation","Energy metabolism"
